Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
"A Plus TR Cleaning Service, Inc.",,Theodore Rampersant,7182070571,7184687803,trcleaningsev@aol.com,MBE,04/29/2020,BLACK,121-22 237th Street,P/H,Rosedale,NY,11422,121-22 237th Street,P/H,Rosedale,New York,11422,http://www.aplustrcleaningservices.com,,,,"Full janitoral cleaning service including floor mopping, floor stripping, floor waxing, carpet vacuuming, carpet cleaning, dust removal high and low, cleaning of desk chairs, desk, dust cabinets, clean office kitchens, sanitize and clean bathrooms, disinfect bathrooms, post construction clean up, school janitoral cleaning , industrial cleaning.",,,Village Voice,72000,100,04/01/2013,"Dusting, mopping, vacuum, floor maintenance, bathroom cleaning, carpet cleaning, kitchen/break room cleaning.",National Flag Display,82000,100,12/01/2014,"Dusting, mopping, vacuum carpet, empty waste baskets, bathroom cleaning and disinfecting.",NYC Police Department,6900,100,01/11/2013,"Dusting, mopping, floor stripping and floor waxing.",,0,,,
ABK Staffing Inc.,,Marianela Gomez,7189314477,7188225878,marianela@abkstaffing.net,WBE,,NON-MINORITY,2024 Williams Bridge Road,Suite 204,Bronx,NY,10461,2024 Williams Bridge Road,Suite 204,Bronx,New York,10461,,,,,"Staffing agency providing qualified temporary, temp to hire and permanent employment need for corporate and health care employers.",,,Metropolitan Hospital Center,2205,100,03/01/2012,Clerical,Lehigh Outfitter,647.5,100,03/01/2014,Labor Work,New York Industrial Works,525,100,01/01/2013,Maintenance,Lincoln Hospital Center,82395,100,01/01/2014,Different Staffing Positions
Altus Metal & Marble Services Inc,,Lina Gottesman,2126291089,631 689-9114,altusmm@aol.com,WBE,,NON-MINORITY,7 Brookview Court,,Stony Brook,NY,11790,732 Smithtown Bypass,Suite 304,Smithtown,New York,11787,http://www.altusmm.com,,3000000,Metal Polishers Local Union Local 8a,"Specialty Metal finishes, construction punch list repairs for metal, stone and wood. Ornamental/ decorative metal, stone and wood restoration, repair and maintenance.",,,NY Police Department,60000,,08/01/2013,"Ongoing- Restoration and Maintenance of entrance doors, turnstiles",Grand Central Terminal,100000,,08/01/2013,"Ongoing- Maintenance of building entrance, food court tables & chairs and various other projects as they develop",Western Management,170000,,08/01/2013,Ongoing- Restoration of exterior facade,,0,,,
Amsterdam Contracting Corp.,,Mohammed Raja,7184346796,7184839755,amsterdamcontracting@gmail.com,MBE,04/29/2020,ASIAN,702 East 10th Street,Apt. 2,Brooklyn,NY,11230,702 East 10th Street,Apt. 2,Brooklyn,New York,11230,,,,,"We provide the following services: building renovation, concrete work, construction, residential buildings, masonry, waterproofing, painting, roofing and stone work.",No,Building Construction (non-Residential); Residential Building Construction,AMB,60000,100,04/12/2014,Masonry Work,AMBR,30000,100,09/15/2014,Masonry & Parapet,Shawn Construction Inc.,45000,100,10/15/2013,Concrete,,0,,,
Arcadia Builders Corporation,,Josephine OGrady,9142375005,,josie@arcadiany.com,WBE,,NON-MINORITY,29-07 119th Street,,Flushing,NY,11354,29-07 119th Street,,Flushing,New York,11354,http://www.arcadiany.com,,,,Janitorial/maintenance services.,No,Building Construction (non-Residential),First NY Partners,27000,100,02/01/2015,"Provide maintenance at facility, Metrotech Commons. Remove trip hazards & cleaning,",Academic Stone,58000,100,01/01/2014,Polish marble floors and apply sealer.,Weinstein,2800,100,03/01/2014,"Provide building maintenance, painting, window washing and cleaning,",Ridge Hill LLC,7500,100,01/01/2010,Provide snow removal and landscaping services. General maintenance and repair.
B & S Iron Works LLC,,Stacy Seecharan,7184014339,7184014383,STACY@bsironworks.com,MBE,08/31/2018,BLACK,1364 Inwood Avenue,,Bronx,NY,10452,1364 Inwood Avenue,,Bronx,New York,10452,http://www.bsironworks.com,,,,"Structural & ornamental ironworks steel fabrications, fencing, railings, doors, window bars, etc., welding, steel repairs. suppliers of steel, bolts & nuts, NYC DOB curbing.",,,MetroNorth Railroad,480000,,03/01/2012,Stainless Steel Railings,MetroNorth Railroad,350000,,01/01/2013,Stainless Steel Railings,MTA- NYTA,512000,,02/01/2011,Stainless Steel Railings,,0,,,
"B. J. Laura & Sons, Inc.",,Doris Krsank,7189619841,718 461-4319,dck@bjlaura.com,WBE,,NON-MINORITY,45-58 162nd Street,,Flushing,NY,11358,45-58 162nd Street,,Flushing,New York,11358,http://www.bjlauraandson.com,,,,"Mechanical contractor specializing in commercial & industrial garage door, gate, grille and operator service, repair & replacement. Service to and repair to HVAC-R equipment and pumps, blowers and fans.",,,Emblem Health,40000,,01/01/2011,"Service & repair of automatic entrance doors, garage doors, and gates at all facilities in NYC (Under Contract)",U.S. Tennis Assoc.  National Tennis Center,50000,,01/01/2011,"Service, repair and maintenance of all steel rolling doors and shutterss at the National Tennis Center (Under Contract)",Bell Realty,20000,,01/01/2011,"Service, repair and installation of all garage doors, gates and operators at various properties managed by Bell Realty.",,0,,,
"Barbara Thayer, P. E., Architect, Lanscape Architecture, L.S., P.",B. Thayer Associates,Barbara Thayer,7189423320,,bthayer@bthayerassociates.com,WBE,,NON-MINORITY,37-18  Northern Boulevard,Suite 525,Long Lsland City,NY,11101,37-18 Northern Boulevard,Suite 525,Long Island City,New York,11101,http://www.Bthayerassociates.com,,,,"B. Thayer Associates is a multi-disciplined firm organized into four major divisions: Landscape Architecture, Surveying, Engineering, and Architecture. Specialized services include arboriculture; wetland delination and mitigation; environmental and permitting; civil, structural, and site design; bridge and highway design; and construction phase services. BTA is a certified Women-Owned and Disadvantaged Business Enterprise (W/DBE) founded in 1990 and located in Woodbury, Long Island and Long Island City, Queens.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Brandico Realty Group, Inc.",,Shirley Tripicco,7183258400,7183252373,brandicorealty@aol.com,WBE,,NON-MINORITY,1040 E 214th Street,Rear Bldg,Bronx,NY,10469,P.O. Box 1343,,Bronx,New York,10475,http://www.brandicorealty.com,,,,"Real estate management, sales, rentals, accounting",,,Gregory Harmon Esq. Receiver,12000,,07/01/2012,Management,Gregory Harmon Esq. Receiver,6000,,07/01/2012,Management,1776 Topping Ave HDFC,12000,,09/01/2012,Management,,0,,,
"C.V. Associates NY; PE, LS, P.C.",,Chamarajanagar Shashikumar,8457741075,845 774-8139,cvany@cvassociatesny.com,MBE,05/31/2018,ASIAN,148 Route 17 M,Suite 2,Harriman,NY,10926,148 Route 17 M,Suite 2,Harriman,New York,10926,http://www.cvassociatesny.com,,,Op Eng 825,"We provide design, maintenance inspections, construction inspection, geotechnical engineering, surveying, and other related engineering services for bridges, highways, buildings, overhead signs and other infrastructure.",,,NYC DDC,613408,,12/01/2005,JV Prime for Supervision of Construction,NYC DDC,90716,,12/01/2006,Provided one construction inspector,NYC DOT,315000,,10/01/2000,Provided 3 engineers for in-depth inspections,,0,,,
