 北  京,[[  0.00000000e+00   1.80590958e+08],98.66 ,5842.76 ,31.81 ,1678.05 ,80636.94 ,8.80 ,33096.52 ,102.65 ,3915.46 ,2732.50 ,39653.83 ,0.76 
 天  津, [  0.00000000e+00   0.00000000e+00],96.40 ,4375.03 ,36.38 ,660.25 ,82735.60 ,15.34 ,26907.60 ,102.66 ,1486.30 ,962.47 ,16020.83 ,0.99 
 河  北, [  2.00000000e+00   3.57108851e+07],96.22 ,1999.84 ,33.12 ,1112.96 ,32516.47 ,10.28 ,18477.47 ,103.53 ,2844.86 ,1309.85 ,18594.75 ,1.02 
 山  西, [  1.00000000e+00   6.64428432e+06],96.52 ,2241.50 ,30.97 ,788.58 ,29539.09 ,10.30 ,18126.33 ,102.70 ,1401.28 ,866.02 ,11428.32 ,1.61 
 内蒙古, [  2.00000000e+00   4.97292452e+08],96.19 ,1955.20 ,30.90 ,1074.96 ,55312.78 ,13.34 ,20518.78 ,102.98 ,2167.43 ,930.59 ,9684.70 ,0.82 
 辽  宁, [  5.00000000e+00   2.41657794e+08],96.38 ,2750.87 ,35.16 ,1019.09 ,49332.98 ,11.56 ,20547.12 ,102.70 ,2002.15 ,1903.58 ,22940.16 ,1.44 
 吉  林, [  2.00000000e+00   4.04794254e+07],96.24 ,2827.69 ,31.85 ,1107.35 ,37460.82 ,12.31 ,17937.28 ,103.63 ,1416.53 ,608.39 ,9179.27 ,1.34 
 黑龙江, [  1.00000000e+00   3.90356062e+07],95.76 ,2448.73 ,35.74 ,822.08 ,31128.68 ,10.90 ,15892.83 ,102.75 ,2445.38 ,699.09 ,8712.48 ,1.39 
 上  海, [  0.00000000e+00   0.00000000e+00],96.17 ,3828.45 ,35.14 ,913.75 ,80667.97 ,8.37 ,36188.19 ,102.62 ,2545.36 ,3094.96 ,37276.85 ,0.85 
 江  苏, [  4.00000000e+00   0.00000000e+00],96.85 ,2805.92 ,35.80 ,2354.91 ,60482.95 ,11.17 ,26408.99 ,102.74 ,6723.86 ,4059.25 ,50771.34 ,1.01 
 浙  江, [  4.00000000e+00   8.56295891e+07],96.88 ,2290.77 ,34.40 ,6170.97 ,57344.46 ,9.20 ,31066.68 ,102.47 ,3414.32 ,2835.86 ,55948.98 ,1.31 
